Gato,Region,Latitud,Longitud
Leopardus colocola,Tarapaca,-20.2439,-70.1389
Leopardus colocola,Coquimbo,-29.9708,-71.3069
Leopardus colocola,Valparaiso,-33.0333,-71.6667
Leopardus colocola,Metropolitana,-33.4372,-70.6572
Leopardus colocola,O'Higgins,-34.1619,-70.7408
Leopardus colocola,Maule,-35.4228,-71.6569
Leopardus colocola,Nuble,-36.6008,-72.1089
Leopardus colocola,Biobio,-36.815,-73.0289
Leopardus colocola,La Araucania,-38.7269,-72.5989
Leopardus colocola,Los Rios,-39.8142,-73.2458
Leopardus colocola,Los Lagos,-41.4539,-72.9928
Leopardus colocola,Aysen,-45.4119,-72.6978
Leopardus colocola,Magallanes,-53.1478,-70.9069
Leopardus geoffroyi,Magallanes,-53.1478,-70.9069
Leopardus geoffroyi,Aysen,-45.4119,-72.6978
Leopardus guigna,Coquimbo,-29.9708,-71.3069
Leopardus guigna,Valparaiso,-33.0333,-71.6667
Leopardus guigna,Metropolitana,-33.4372,-70.6572
Leopardus guigna,O'Higgins,-34.1619,-70.7408
Leopardus guigna,Maule,-35.4228,-71.6569
Leopardus guigna,Nuble,-36.6008,-72.1089
Leopardus guigna,Biobio,-36.815,-73.0289
Leopardus guigna,La Araucania,-38.7269,-72.5989
Leopardus guigna,Los Rios,-39.8142,-73.2458
Leopardus guigna,Los Lagos,-41.4539,-72.9928
Leopardus guigna,Aysen,-45.4119,-72.6978
Leopardus jacobita,Arica y Parinacota,-18.4746,-70.29792
Leopardus jacobita,Tarapaca,-20.2439,-70.1389
Leopardus jacobita,Antofagasta,-23.6508,-70.395
Puma concolor,Arica y Parinacota,-18.4746,-70.29792
Puma concolor,Tarapaca,-20.2439,-70.1389
Puma concolor,Antofagasta,-23.6508,-70.395
Puma concolor,Atacama,-27.0658,-70.8258
Puma concolor,Coquimbo,-29.9708,-71.3069
Puma concolor,Valparaiso,-33.0333,-71.6667
Puma concolor,Metropolitana,-33.4372,-70.6572
Puma concolor,O'Higgins,-34.1619,-70.7408
Puma concolor,Maule,-35.4228,-71.6569
Puma concolor,Nuble,-36.6008,-72.1089
Puma concolor,Biobio,-36.815,-73.0289
Puma concolor,La Araucania,-38.7269,-72.5989
Puma concolor,Los Rios,-39.8142,-73.2458
Puma concolor,Los Lagos,-41.4539,-72.9928
Puma concolor,Aysen,-45.4119,-72.6978
Puma concolor,Magallanes,-53.1478,-70.9069
